USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.8  0.1  21440 13032 ?        Ss   14:38   0:04 /sbin/init splash noautomount splash
root           2  0.0  0.0      0     0 ?        S    14:38   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        I<   14:38   0:00 [rcu_gp]
root           4  0.0  0.0      0     0 ?        I<   14:38   0:00 [rcu_par_gp]
root           5  0.0  0.0      0     0 ?        I<   14:38   0:00 [slub_flushwq]
root           6  0.0  0.0      0     0 ?        I<   14:38   0:00 [netns]
root           9  0.0  0.0      0     0 ?        I    14:38   0:00 [kworker/0:1-inet_frag_wq]
root          11  0.0  0.0      0     0 ?        I<   14:38   0:00 [mm_percpu_wq]
root          12  0.0  0.0      0     0 ?        I    14:38   0:00 [rcu_tasks_kthread]
root          13  0.0  0.0      0     0 ?        I    14:38   0:00 [rcu_tasks_rude_kthread]
root          14  0.0  0.0      0     0 ?        I    14:38   0:00 [rcu_tasks_trace_kthread]
root          15  0.0  0.0      0     0 ?        S    14:38   0:00 [ksoftirqd/0]
root          16  0.1  0.0      0     0 ?        I    14:38   0:00 [rcu_preempt]
root          17  0.0  0.0      0     0 ?        S    14:38   0:00 [migration/0]
root          18  0.0  0.0      0     0 ?        S    14:38   0:00 [idle_inject/0]
root          19  0.0  0.0      0     0 ?        S    14:38   0:00 [cpuhp/0]
root          20  0.0  0.0      0     0 ?        S    14:38   0:00 [cpuhp/1]
root          21  0.0  0.0      0     0 ?        S    14:38   0:00 [idle_inject/1]
root          22  0.4  0.0      0     0 ?        S    14:38   0:02 [migration/1]
root          23  0.0  0.0      0     0 ?        S    14:38   0:00 [ksoftirqd/1]
root          28  0.0  0.0      0     0 ?        S    14:38   0:00 [kdevtmpfs]
root          29  0.0  0.0      0     0 ?        I<   14:38   0:00 [inet_frag_wq]
root          30  0.0  0.0      0     0 ?        S    14:38   0:00 [kauditd]
root          31  0.4  0.0      0     0 ?        I    14:38   0:02 [kworker/0:2-events]
root          32  0.0  0.0      0     0 ?        S    14:38   0:00 [khungtaskd]
root          33  0.0  0.0      0     0 ?        I    14:38   0:00 [kworker/u256:2-btrfs-delalloc]
root          34  0.0  0.0      0     0 ?        S    14:38   0:00 [oom_reaper]
root          35  0.0  0.0      0     0 ?        I<   14:38   0:00 [writeback]
root          36  0.0  0.0      0     0 ?        S    14:38   0:00 [kcompactd0]
root          37  0.0  0.0      0     0 ?        SN   14:38   0:00 [ksmd]
root          38  0.3  0.0      0     0 ?        SN   14:38   0:01 [khugepaged]
root          39  0.0  0.0      0     0 ?        I<   14:38   0:00 [kintegrityd]
root          40  0.0  0.0      0     0 ?        I<   14:38   0:00 [kblockd]
